slug,title,template_id,interaction,asset_ref,mood
affirmations,Affirmations,template_LoveAffirmations,guided-interaction,none,M-GOLD
anniversary-countdown-clock,Anniversary Countdown Clock,template_AnniversaryCountdownClock,time-reveal,none,M-NIGHT
balloon-pop,Balloon Pop,template_BalloonPop,guided-interaction,none,M-BLUSH
bento-box,Bento Box,template_page-local,guided-interaction,none,M-MONO
bhuntu-comic-strip2,Bhuntu Comic Strip2,template_BhuntuComicStrip2,guided-interaction,none,M-SEPIA
bhuntu-emoji-arcade,Bhuntu Emoji Arcade,template_BhuntuEmojiArcade,guided-interaction,none,M-ELECT
bhuntu-emoji-comic,Bhuntu Emoji Comic,template_BhuntuEmojiComic,guided-interaction,none,M-WINE
bhuntu-love-polaroids,Bhuntu Love Polaroids,template_BhuntuLovePolaroids,visual-collection,none,M-PAPER
bhuntu-nicknames-galaxy,Bhuntu Nicknames Galaxy,template_BhuntuNicknamesGalaxy,guided-interaction,none,M-DAWN
bhuntu-personality-quiz,Bhuntu Personality Quiz,template_BhuntuPersonalityQuiz,game-or-puzzle,none,M-GREY
bhuntu-photo-mosaic2,Bhuntu Photo Mosaic2,template_BhuntuPhotoMosaic2,visual-collection,none,M-FOREST
bhuntu-trivia-showdown,Bhuntu Trivia Showdown,template_BhuntuTriviaShowdown,game-or-puzzle,none,M-DUSK
bhuntu-trivia-wheel,Bhuntu Trivia Wheel,template_page-local,randomized-choice,none,M-FIELD
bhuntu-voice-note-archive,Bhuntu Voice Note Archive,template_BhuntuVoiceNoteArchive,audio,none,M-FROST
birthday-sky-letter,Birthday Sky Letter,template_page-local,randomized-choice,none,M-AMBER
birthday-time-capsule2,Birthday Time Capsule2,template_BirthdayTimeCapsule2,time-reveal,none,M-GOLD
birthday-wish-letter,Birthday Wish Letter,template_page-local,reveal,none,M-NIGHT
blessing-tree,Blessing Tree,template_page-local,grow-or-assemble,none,M-BLUSH
bonus-arcade,Bonus Arcade,template_page-local,audio,none,M-MONO
bottle,Bottle,template_MessageInBottle,message-sequence,none,M-SEPIA
bouquet,Bouquet,template_BouquetSection,grow-or-assemble,none,M-ELECT
bouquet-reasons,Bouquet Reasons,template_page-local,message-sequence,none,M-WINE
bubble-pop,Bubble Pop,template_BubblePopGame,guided-interaction,none,M-PAPER
bubble-wrap,Bubble Wrap,template_BubbleWrap,guided-interaction,none,M-DAWN
bucket-list,Bucket List,template_page-local,visual-collection,none,M-GREY
candle-blower,Candle Blower,template_page-local,grow-or-assemble,none,M-FOREST
catcher-game,Catcher Game,template_HeartCatcherGame,guided-interaction,none,M-DUSK
cherry-blossom-wish-tree,Cherry Blossom Wish Tree,template_CherryBlossomWishTree,grow-or-assemble,none,M-FIELD
cloud-skywriter,Cloud Skywriter,template_CloudSkywriter,spatial-exploration,none,M-FROST
compliment-jar,Compliment Jar,template_page-local,audio,none,M-AMBER
cooking-game,Cooking Game,template_page-local,guided-interaction,none,M-GOLD
couple-anniversary-clock,Couple Anniversary Clock,template_CoupleAnniversaryClock,guided-interaction,none,M-NIGHT
couple-anniversary-timeline,Couple Anniversary Timeline,template_CoupleAnniversaryTimeline,time-reveal,none,M-BLUSH
couple-bingo,Couple Bingo,template_page-local,game-or-puzzle,none,M-MONO
couple-bucket-list2,Couple Bucket List2,template_page-local,message-sequence,none,M-SEPIA
couple-bucket-list-globe,Couple Bucket List Globe,template_CoupleBucketListGlobe,spatial-exploration,none,M-ELECT
couple-bucket-list,Couple Bucket List,template_CoupleBucketList,guided-interaction,none,M-WINE
couple-bucket-list-spinner,Couple Bucket List Spinner,template_CoupleBucketListSpinner,randomized-choice,none,M-PAPER
couple-cookbook,Couple Cookbook,template_CoupleCookbook,guided-interaction,none,M-DAWN
couple-daily-horoscope,Couple Daily Horoscope,template_CoupleDailyHoroscope,randomized-choice,none,M-GREY
couple-escape-room,Couple Escape Room,template_CoupleEscapeRoom,guided-interaction,none,M-FOREST
couple-future-home3-d,Couple Future Home3 D,template_CoupleFutureHome3D,spatial-exploration,none,M-DUSK
couple-milestone-map2,Couple Milestone Map2,template_page-local,message-sequence,none,M-FIELD
couple-milestone-map,Couple Milestone Map,template_CoupleMilestoneMap,guided-interaction,none,M-FROST
couple-movie-marathon,Couple Movie Marathon,template_page-local,audio,none,M-AMBER
couple-movie-night,Couple Movie Night,template_CoupleMovieNight,guided-interaction,none,M-GOLD
couple-nickname-generator,Couple Nickname Generator,template_CoupleNicknameGenerator,guided-interaction,none,M-NIGHT
couple-questions-deep,Couple Questions Deep,template_CoupleQuestionsDeep,guided-interaction,none,M-BLUSH
couple-quiz2,Couple Quiz2,template_page-local,game-or-puzzle,none,M-MONO
couple-quiz-master,Couple Quiz Master,template_CoupleQuizMaster,game-or-puzzle,none,M-SEPIA
couple-recipe-book,Couple Recipe Book,template_CoupleRecipeBook,guided-interaction,none,M-ELECT
couple-relationship-cert,Couple Relationship Cert,template_CoupleRelationshipCert,guided-interaction,none,M-WINE
couple-soundtrack,Couple Soundtrack,template_page-local,audio,none,M-PAPER
couple-starry-planetarium,Couple Starry Planetarium,template_CoupleStarryPlanetarium,spatial-exploration,none,M-DAWN
couple-superlatives,Couple Superlatives,template_CoupleSuperlatives,guided-interaction,none,M-GREY
couple-travel-passport-stamps,Couple Travel Passport Stamps,template_CoupleTravelPassportStamps,visual-collection,none,M-FOREST
couple-yearbook,Couple Yearbook,template_page-local,spatial-exploration,none,M-DUSK
couples-secret-handshake,Couples Secret Handshake,template_CouplesSecretHandshake,guided-interaction,none,M-FIELD
coupon-vault,Coupon Vault,template_CouponVault,guided-interaction,none,M-FROST
cupcake-decorator,Cupcake Decorator,template_CupcakeDecorator,guided-interaction,none,M-AMBER
cupid-archery,Cupid Archery,template_page-local,audio,none,M-GOLD
cupid-radio-djstation,Cupid Radio DJStation,template_CupidRadioDJStation,audio,none,M-NIGHT
curated-journey,Curated Journey,template_page-local,audio,none,M-BLUSH
distance,Distance,template_NepalgunjToOsakaFlightSim,guided-interaction,none,M-MONO
dragon-princess-adventure,Dragon Princess Adventure,template_DragonPrincessAdventure,guided-interaction,none,M-SEPIA
emoji-art-canvas,Emoji Art Canvas,template_page-local,message-sequence,none,M-ELECT
emoji-story,Emoji Story,template_EmojiStory,guided-interaction,none,M-WINE
enchanted-crystal-ball,Enchanted Crystal Ball,template_EnchantedCrystalBall,guided-interaction,none,M-PAPER
enchanted-rose-garden,Enchanted Rose Garden,template_EnchantedRoseGarden,grow-or-assemble,none,M-DAWN
fairy-tale-generator,Fairy Tale Generator,template_FairyTaleGenerator,guided-interaction,none,M-GREY
ferris-wheel,Ferris Wheel,template_page-local,randomized-choice,none,M-FOREST
firework-maker,Firework Maker,template_page-local,grow-or-assemble,none,M-DUSK
fireworks,Fireworks,template_page-local,reveal,none,M-FIELD
first-moments-timeline,First Moments Timeline,template_FirstMomentsTimeline,time-reveal,none,M-FROST
fortune-cookie-love,Fortune Cookie Love,template_FortuneCookieLove,randomized-choice,none,M-AMBER
fortune-cookie,Fortune Cookie,template_FortuneCookie,randomized-choice,none,M-GOLD
four-seasons-of-love,Four Seasons Of Love,template_FourSeasonsOfLove,guided-interaction,none,M-NIGHT
future-house-builder,Future House Builder,template_FutureHouseBuilder,guided-interaction,none,M-BLUSH
future-house-builder-second,Future House Builder Second,template_page-local,message-sequence,none,M-MONO
future-night-ride,Future Night Ride,template_page-local,message-sequence,none,M-SEPIA
gallery,Gallery,template_GallerySection,visual-collection,none,M-ELECT
grand-love-galaxy3-d,Grand Love Galaxy3 D,template_GrandLoveGalaxy3D,spatial-exploration,none,M-WINE
grand-love-universe,Grand Love Universe,template_GrandLoveUniverse,guided-interaction,none,M-PAPER
hall-of-fame,Hall Of Fame,template_HallOfFame,guided-interaction,none,M-DAWN
heart-bubble-tea-maker,Heart Bubble Tea Maker,template_HeartBubbleTeaMaker,guided-interaction,none,M-GREY
heart-mailbox,Heart Mailbox,template_HeartMailbox,guided-interaction,none,M-FOREST
heart-shape-tangram,Heart Shape Tangram,template_HeartShapeTangram,guided-interaction,none,M-DUSK
heartbeat-drum-pad,Heartbeat Drum Pad,template_page-local,audio,none,M-FIELD
home,Home,template_page-local,audio,none,M-FROST
horoscope,Horoscope,template_page-local,randomized-choice,none,M-AMBER
hug-counter,Hug Counter,template_HugCounter,guided-interaction,none,M-GOLD
infinite-reasons-machine,Infinite Reasons Machine,template_InfiniteReasonsMachine,guided-interaction,none,M-NIGHT
jigsaw,Jigsaw,template_JigsawPuzzle,guided-interaction,none,M-BLUSH
kiss-collector,Kiss Collector,template_page-local,message-sequence,none,M-MONO
lanterns,Lanterns,template_page-local,letter-or-paper,none,M-SEPIA
letter,Letter,template_LetterSection,letter-or-paper,none,M-ELECT
letter-tonight,Letter Tonight,template_page-local,message-sequence,none,M-WINE
little-things,Little Things,template_page-local,message-sequence,none,M-PAPER
love-achievement-badges,Love Achievement Badges,template_LoveAchievementBadges,guided-interaction,none,M-DAWN
love-advent-calendar,Love Advent Calendar,template_LoveAdventCalendar,time-reveal,none,M-GREY
love-alarm,Love Alarm,template_page-local,message-sequence,none,M-FOREST
love-anagram-solver,Love Anagram Solver,template_page-local,message-sequence,none,M-DUSK
love-aquarium,Love Aquarium,template_LoveAquarium,guided-interaction,none,M-FIELD
love-arcade-dance-machine,Love Arcade Dance Machine,template_LoveArcadeDanceMachine,guided-interaction,none,M-FROST
love-audio-visualizer2,Love Audio Visualizer2,template_LoveAudioVisualizer2,audio,none,M-AMBER
love-audio-visualizer,Love Audio Visualizer,template_LoveAudioVisualizer,audio,none,M-GOLD
love-awards-night,Love Awards Night,template_LoveAwardsNight,guided-interaction,none,M-NIGHT
love-butterfly-catcher,Love Butterfly Catcher,template_page-local,guided-interaction,none,M-BLUSH
love-calculator,Love Calculator,template_LoveCalculator,guided-interaction,none,M-MONO
love-candle-light-dinner,Love Candle Light Dinner,template_LoveCandleLightDinner,grow-or-assemble,none,M-SEPIA
love-chimes,Love Chimes,template_page-local,message-sequence,none,M-ELECT
love-clock,Love Clock,template_LoveClock,guided-interaction,none,M-WINE
love-compass,Love Compass,template_page-local,audio,none,M-PAPER
love-compatibility-matrix,Love Compatibility Matrix,template_LoveCompatibilityMatrix,guided-interaction,none,M-DAWN
love-constellation-connect,Love Constellation Connect,template_LoveConstellationConnect,spatial-exploration,none,M-GREY
love-constellation-maker,Love Constellation Maker,template_LoveConstellationMaker,spatial-exploration,none,M-FOREST
love-constellation-painter,Love Constellation Painter,template_page-local,reveal,none,M-DUSK
love-constellation-stargazer,Love Constellation Stargazer,template_LoveConstellationStargazer,spatial-exploration,none,M-FIELD
love-coronation-ceremony,Love Coronation Ceremony,template_LoveCoronationCeremony,guided-interaction,none,M-FROST
love-couple-time-capsule-lock-box,Love Couple Time Capsule Lock Box,template_LoveCoupleTimeCapsuleLockBox,time-reveal,none,M-AMBER
love-coupon-generator,Love Coupon Generator,template_LoveCouponGenerator,guided-interaction,none,M-GOLD
love-crossword,Love Crossword,template_page-local,game-or-puzzle,none,M-NIGHT
love-crossword-puzzle,Love Crossword Puzzle,template_LoveCrosswordPuzzle,game-or-puzzle,none,M-BLUSH
love-dated-calendar,Love Dated Calendar,template_LoveDatedCalendar,time-reveal,none,M-MONO
love-diary,Love Diary,template_LoveDiary,letter-or-paper,none,M-SEPIA
love-dice,Love Dice,template_LoveDice,randomized-choice,none,M-ELECT
love-doodle-canvas,Love Doodle Canvas,template_page-local,letter-or-paper,none,M-WINE
love-enchanted-glass-terrarium,Love Enchanted Glass Terrarium,template_LoveEnchantedGlassTerrarium,guided-interaction,none,M-PAPER
love-envelope-collection,Love Envelope Collection,template_LoveEnvelopeCollection,letter-or-paper,none,M-DAWN
love-envelope,Love Envelope,template_page-local,message-sequence,none,M-GREY
love-fireflies,Love Fireflies,template_LoveFireflies,guided-interaction,none,M-FOREST
