route,component,imports,sourceBytes,images,buttons,narrative,mediaCollections,boring
"/memory-match","MemoryMatchPage","MemoryMatchGame","4025","0","3","9","2","true"
"/quote-generator","QuoteGeneratorPage","TypewriterQuotes","3044","0","4","3","0","true"
"/passport","PassportPage","CouplePassport","4199","0","0","3","1","true"
"/lanterns","LanternsPage","SkyLanterns","3516","0","1","3","2","true"
"/treasure-chest","TreasureChestPage","VIPTreasureChest","3305","0","1","8","0","true"
"/love-slots","LoveSlotsPage","LoveSlots","3294","0","2","4","1","true"
"/horoscope","HoroscopePage","LoveHoroscope","2969","0","0","5","1","true"
"/love-pet","LovePetPage","VirtualLovePet","2641","0","5","7","0","true"
"/fireworks","FireworksPage","HeartFireworks","1618","0","1","3","0","true"
"/timeline-quiz","TimelinePuzzlePage","TimelinePuzzle","2236","0","2","3","0","true"
"/emoji-story","EmojiStoryPage","EmojiStory","3821","0","7","19","1","true"
"/balloon-pop","BalloonPopPage","BalloonPop","3728","0","2","7","1","true"
"/couple-bingo","CoupleBingoPage","CoupleBingo","3348","0","1","6","1","true"
"/love-diary","LoveDiaryPage","LoveDiary","4165","1","4","7","0","true"
"/love-lottery","LoveLotteryPage","LoveLottery","3210","0","1","3","1","true"
"/love-tamagotchi","LoveTamagotchiPage","LoveTamagotchi","4019","0","6","4","0","true"
"/love-tarot","LoveTarotPage","LoveTarot","2916","0","1","3","1","true"
"/memory-lane","MemoryLanePage","MemoryLane","2608","0","2","10","1","true"
"/love-radio","LoveRadioPage","LoveRadio","2931","0","2","5","2","true"
"/blessing-tree","BlessingTreePage","BlessingTree","2763","0","2","3","1","true"
"/couple-quiz-2","CoupleQuiz2Page","CoupleQuiz2","2645","0","2","2","1","true"
"/love-spinner-3d","LoveSpinner3DPage","LoveSpinner3D","2795","0","4","0","2","true"
"/bento-box","BentoBoxPage","BentoBox","3119","0","2","3","3","true"
"/love-wheel-fortune","LoveWheelFortunePage","LoveWheelFortune","2482","0","4","0","1","true"
"/love-jar-notes","LoveJarNotesPage","LoveJarNotes","2855","0","2","4","1","true"
"/sweet-compliments","SweetComplimentsPage","SweetCompliments","3425","0","4","4","0","true"
"/love-passport-stamps","LovePassportStampsPage","LovePassportStamps","3712","0","4","9","1","true"
"/mood-ring","MoodRingPage","MoodRing","2821","0","1","3","0","true"
"/couple-bucket-list-2","CoupleBucketList2Page","CoupleBucketList2","2936","0","2","2","0","true"
"/love-quiz-advanced","LoveQuizAdvancedPage","LoveQuizAdvanced","2631","0","2","10","0","true"
"/love-recipe","LoveRecipePage","LoveRecipe","4132","0","6","2","2","true"
"/potion-brewery","LovePotionBreweryPage","LovePotionBrewery","3375","0","4","2","2","true"
