pageNumber,route,component,file,sourceBytes,categories,mechanics,imports,hasGame,hasGift,hasRomance,hasMemory,hasSurprise,fingerprint
"001","/","HomePage","HomePage.jsx","8833","gift|romance|memory|surprise","memory-reveal","","false","true","true","true","true","import react, { usememo, token } from react; import { token, token, gift, heart, token, token } from token; import { token } from token; import { token, token } from ../data/token; const ribbons = [ { label: the name abu kept, copy: you cal"
"002","/curated-journey","CuratedJourneyPage","CuratedJourneyPage.jsx","5473","game|romance|memory|surprise","decorator|memory-reveal","","true","false","true","true","true","import react, { token } from react; import { token, compass, mappin, token, star } from token; import { token } from token; import { token } from ../data/token; const token = [ { number: 01, title: when token became sanzu, note: the first r"
"003","/story","StoryPage","StoryPage.jsx","3815","game|gift|romance|memory|surprise","memory-reveal","","true","true","true","true","true","import react, { token } from react; import { token, token, token, feather } from token; import { token } from token; const lines = [ there was a token token in token that did not know it was opening abu’s whole heart., there was token, wate"
"004","/gallery","GalleryPage","GalleryPage.jsx","213","memory","","../components/GallerySection","false","false","false","true","false","import react from react; import token from ../token/token; export default token token() { return ( <div token=token> <token /> </div> ); }"
"005","/video","VideoPage","VideoPage.jsx","4020","gift|romance|memory|surprise","memory-reveal","","false","true","true","true","true","import react, { token } from react; import { token, camera, token, play, volume2 } from token; import { token } from token; export default token token() { const token = token(); const [caption, token] = token(token, even a short clip of you"
"006","/letter","LetterPage","LetterPage.jsx","209","gift","memory-reveal","../components/LetterSection","false","true","false","false","false","import react from react; import token from ../token/token; export default token token() { return ( <div token=token> <token /> </div> ); }"
"007","/bouquet","BouquetPage","BouquetPage.jsx","215","gift","","../components/BouquetSection","false","true","false","false","false","import react from react; import token from ../token/token; export default token token() { return ( <div token=token> <token /> </div> ); }"
"008","/distance","DistancePage","DistancePage.jsx","247","","","../components/NepalgunjToOsakaFlightSim","false","false","false","false","false","import react from react; import token from ../token/token; export default token token() { return ( <div token=token> <token /> </div> ); }"
"009","/surprise","SurprisePage","SurprisePage.jsx","211","surprise","","../components/FinaleSection","false","false","false","false","true","import react from react; import token from ../token/token; export default token token() { return ( <div token=token> <token /> </div> ); }"
"010","/ring","RingSurprisePage","RingSurprisePage.jsx","19280","game|gift|romance|memory|surprise","choice-reveal|decorator","../components/AudioController","true","true","true","true","true","import react, { token } from react; import { motion, token } from token; import { heart, token } from token; import token from token; import { token } from ../token/token; import { token } from ../store/token; /* ─── token sparkle token — t"
"011","/quiz","QuizPage","QuizPage.jsx","5393","game|gift|romance|memory|surprise","quiz|memory-reveal","","true","true","true","true","true","import react, { token } from react; import { check, heart, lock, token } from token; const token = [ { prompt: who turned abhay into abu with one little token?, options: [a token, token, the token cake, a lucky star], answer: 1 }, { prompt:"
"012","/stars","StarsPage","StarsPage.jsx","3566","gift|romance|surprise","","","false","true","true","false","true","import react from react; import { token, moon, star } from token; import { token } from token; const token = [ [sanzu, the name that made abhay into abu, one little token, and token every “huss” from you felt like home.], [bhuntu, the smile"
"013","/time-capsule","TimeCapsulePage","TimeCapsulePage.jsx","225","gift|memory|surprise","memory-reveal","../components/OpenWhenLetters","false","true","false","true","true","import react from react; import token from ../token/token; export default token token() { return ( <div token=token py-6> <token /> </div> ); }"
"014","/scratch-surprises","ScratchSurprisePage","ScratchSurprisePage.jsx","217","game|surprise","scratch","../components/ScratchCard","true","false","false","false","true","import react from react; import token from ../token/token; export default token token() { return ( <div token=token py-6> <token /> </div> ); }"
