registeredOrder,sequenceOrder,inSequence,route,component,sourceBytes,filesScanned,sharedPrimary,interactionIdea,visual,interactionShape,signals,boringReasons,images,buttons,clicks,randomCalls,stateCalls,rotates
"1","1","true","/","HomePage","8883","1","page-specific JSX","romantic-reveal","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","5","5","0","2","2"
"2","","false","/curated-journey","CuratedJourneyPage","5473","1","page-specific JSX","journey-or-timeline","grid|flex-layout|rounded-cards|solid|text-led","several-buttons|local-state|deterministic|tap-or-click","journey-or-timeline","","0","3","3","0","1","0"
"3","","false","/story","StoryPage","3815","1","page-specific JSX","romantic-reveal","grid|flex-layout|flat-cards|solid|text-led","several-buttons|local-state|deterministic|tap-or-click","","","0","3","3","0","1","0"
"4","2","true","/gallery","GalleryPage","10398","2","GallerySection","letter-or-note","grid|flex-layout|rounded-cards|gradient|photo-led","many-buttons|local-state|deterministic|tap-or-click","letter-or-note|photo-or-memory","","4","5","8","0","4","0"
"5","3","true","/video","VideoPage","4020","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|solid|single-media","several-buttons|local-state|deterministic|tap-or-click","photo-or-memory","","1","4","4","0","1","0"
"6","4","true","/letter","LetterPage","7005","2","LetterSection","letter-or-note","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|tap-or-click","letter-or-note|romantic-reveal","","0","2","3","0","1","0"
"7","5","true","/bouquet","BouquetPage","9859","2","BouquetSection","photo-or-memory","grid|flex-layout|rounded-cards|gradient|photo-led","several-buttons|local-state|deterministic|tap-or-click","photo-or-memory|romantic-reveal","","4","2","5","0","2","0"
"8","6","true","/distance","DistancePage","12969","3","NepalgunjToOsakaFlightSim","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|single-media","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator|letter-or-note|photo-or-memory","random/generator output","1","2","2","2","2","1"
"9","7","true","/surprise","SurprisePage","17242","5","FinaleSection","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","5","0","3","1"
"10","","false","/ring","RingSurprisePage","18193","1","page-specific JSX","random-or-generator","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","0","3","5","2","8"
"11","8","true","/quiz","QuizPage","2482","1","page-specific JSX","quiz-or-question","grid|flex-layout|rounded-cards|solid|single-media","several-buttons|local-state|deterministic|tap-or-click","quiz-or-question|photo-or-memory","","1","3","3","0","2","0"
